text,dep,pos,head_text,head_pos,head_dep,next_verb,entity_label,frequency_in_doc,sentence_loc,sentence_num,label
they,nsubj,PRON,agreed,VERB,ccomp,agreed,nonent,1,13,0,none
further merger negotiations,pobj,NOUN,from,ADP,prep,withdraw,nonent,1,-1,0,none
Users Inc,conj,PROPN,Corp,PROPN,nsubj,said,ORG,1,-1,0,acquired
credit union data processing,compound,NOUN,processing,NOUN,compound,said,nonent,1,7,0,acqbus
Security Pacific Corp,nsubj,PROPN,said,VERB,ROOT,said,ORG,1,0,0,purchaser
agreed to withdraw,ccomp,VERB,said,VERB,ROOT,said,nonent,1,16,0,status
it,nsubj,PRON,signed,VERB,advcl,signed,nonent,15,4,1,none
a letter,dobj,NOUN,signed,VERB,advcl,signed,nonent,1,6,1,none
intent,pobj,NOUN,of,ADP,prep,merge,nonent,1,9,1,none
November,pobj,PROPN,in,ADP,prep,signed,DATE,1,-1,1,none
it,nsubj,PRON,received,VERB,ccomp,received,nonent,15,4,1,none
a strong show,dobj,NOUN,received,VERB,ccomp,received,nonent,1,19,1,none
support,pobj,NOUN,of,ADP,prep,continuing,nonent,1,23,1,none
the credit union ownership,dobj,NOUN,continuing,VERB,pcomp,continuing,nonent,1,26,1,none
the company,pobj,NOUN,of,ADP,prep,continuing,nonent,1,31,1,none
credit unions,nsubj,NOUN,committing,VERB,pcomp,committing,nonent,1,34,1,none
themselves,dobj,PRON,committing,VERB,pcomp,committing,nonent,1,37,1,none
additional Users,dobj,PROPN,purchase,VERB,xcomp,purchase,nonent,1,40,1,none
it,nsubj,PRON,purchased,VERB,ccomp,purchased,nonent,4,3,0,none
cash,pobj,NOUN,for,ADP,prep,said,nonent,1,-1,0,none
the assumption,conj,NOUN,cash,NOUN,pobj,said,nonent,1,11,0,none
liabilities,pobj,NOUN,of,ADP,prep,said,nonent,1,14,0,none
the issuance,conj,NOUN,assumption,NOUN,conj,said,nonent,1,16,0,none
creditors,pobj,NOUN,to,ADP,prep,said,nonent,1,-1,0,none
shareholders,conj,NOUN,creditors,NOUN,pobj,said,nonent,1,28,0,none
members,conj,NOUN,shareholders,NOUN,conj,said,nonent,1,-1,0,none
American Adventure Inc,dobj,PROPN,purchased,VERB,ccomp,purchased,ORG,2,6,0,acquired
Americanture Inc,nsubj,PROPN,said,VERB,ROOT,said,ORG,1,0,0,purchaser
purchased,ccomp,VERB,said,VERB,ROOT,said,nonent,1,5,0,status
The acquisition,nsubj,NOUN,was,AUX,ROOT,was,nonent,1,0,1,none
a Chapter 11 reorganization plan,pobj,NOUN,of,ADP,prep,was,nonent,1,5,1,none
it,nsubj,PRON,set,VERB,ccomp,set,nonent,2,4,0,none
shareholders,pobj,NOUN,for,ADP,prep,entitled,nonent,1,13,0,none
a special meeting,pobj,NOUN,at,ADP,prep,held,nonent,1,18,0,none
the proposed merger,pobj,NOUN,on,ADP,prep,proposed,nonent,1,27,0,none
a wholly-owned subsidiary,appos,NOUN,Corp,PROPN,pobj,owned,nonent,1,34,0,none
Arsenal Acquiring Corp,pobj,PROPN,of,ADP,prep,owned,ORG,1,-1,0,acquired
Viacom International Inc,nsubj,PROPN,said,VERB,ROOT,said,ORG,1,0,0,purchaser
Arsenal Holdings Inc,pobj,PROPN,of,ADP,prep,owned,ORG,1,38,0,seller
record date,pobj,NOUN,as,ADP,prep,set,nonent,1,10,0,status
Scott's Hospitality Inc,nsubj,PROPN,said,VERB,ROOT,said,ORG,1,0,0,none
it,nsubj,PRON,acquired,VERB,ccomp,acquired,nonent,9,4,0,none
all issued shares,dobj,NOUN,acquired,VERB,ccomp,acquired,nonent,1,6,0,none
Capital Food Services Ltd,pobj,PROPN,of,ADP,prep,acquired,ORG,1,-1,0,acquired
